signal_date,entry_date,exit_date,entry_px,exit_px,bars_held,gross_ret,net_ret,truncated
2007-10-18,2007-10-19,2007-10-25,5361.958202685547,5567.279510253907,5,0.03891538684151574,0.03787694919996176,False
2007-11-20,2007-11-21,2007-11-27,5780.533444628906,5696.440457373047,5,-0.013956168247657663,-0.014941758647109449,False
2007-12-17,2007-12-18,2007-12-26,5779.333377685547,6068.928775,5,0.05073904344169988,0.049688787580654425,False
2008-01-15,2008-01-16,2008-01-22,6066.8195,4897.830014746094,5,-0.19220118636644679,-0.19300861371375944,False
2008-01-22,2008-01-23,2008-01-29,4904.520719628906,5279.215564746094,5,0.07704388391871042,0.07596733531347044,False
2008-01-30,2008-01-31,2008-02-06,5173.801675,5320.953039746094,5,0.029058882437527078,0.028030296767863172,False
2008-02-06,2008-02-07,2008-02-13,5324.146569628906,4927.971360253907,5,-0.07385550606380464,-0.07478122467015347,False
2008-02-20,2008-02-21,2008-02-27,5158.446972314453,5266.819382373047,5,0.0216215172121772,0.02060036548766564,False
2008-03-03,2008-03-04,2008-03-11,4960.037369628906,4864.440132373047,5,-0.018684878844246855,-0.01966574270759991,False
2008-03-13,2008-03-14,2008-03-24,4625.1869446289065,4608.467142626953,5,-0.0030169357715504885,-0.004013460373072153,False
2008-03-31,2008-04-01,2008-04-07,4737.070597314453,4759.771835253907,5,0.005395308668426857,0.0043903756908363345,False
2008-06-02,2008-06-03,2008-06-09,4740.721594628906,4499.599910253906,5,-0.05029215690032007,-0.051241428020225355,False
2008-06-09,2008-06-10,2008-06-16,4523.3566,4571.12825,5,0.011167624944714794,0.010156922305248006,False
2008-06-20,2008-06-23,2008-06-27,4352.455247314453,4135.408907373047,5,-0.049297313311237434,-0.050247578817252836,False
2008-06-27,2008-06-30,2008-07-04,4137.4908749999995,4014.7952,5,-0.029072227258990613,-0.030042708550551578,False
2008-07-11,2008-07-14,2008-07-18,4048.6641861572266,4091.022325,5,0.011068709772471319,0.010058106002690526,False
2008-07-25,2008-07-28,2008-08-01,4283.534675,4412.2257397460935,5,0.030661405730048497,0.02963121827401216,False
2008-08-14,2008-08-18,2008-08-22,4432.029405371093,4326.1519602539065,5,-0.02330331447594547,-0.024279562027454626,False
2008-09-05,2008-09-08,2008-09-12,4359.607294628906,4227.181660253907,5,-0.029793638619202478,-0.030763398831144317,False
2008-09-15,2008-09-16,2008-09-22,4073.771813842773,4221.782889746094,5,0.03695467312984424,0.03591819530036777,False
2008-09-23,2008-09-24,2008-09-30,4126.987725,3920.0235911865234,5,-0.04957887628385749,-0.05052886035637716,False
2008-10-03,2008-10-06,2008-10-13,3818.4452388427735,3489.6527411865236,5,-0.08555787951657434,-0.0864719011308075,False
2008-10-15,2008-10-16,2008-10-22,3334.850252685547,3064.230357373047,5,-0.0805975636101337,-0.08151654325927182,False
2008-10-22,2008-10-23,2008-10-31,3065.7194888427734,2884.734417626953,5,-0.05847035640722953,-0.059411453088373256,False
2008-11-05,2008-11-06,2008-11-12,2999.3494861572262,2847.5954161865234,5,-0.05002584750209882,-0.050975384808939816,False
2008-11-12,2008-11-14,2008-11-20,2848.8543999999997,2552.383957373047,5,-0.1035288264242451,-0.10442488535551131,False
2008-11-20,2008-11-21,2008-11-28,2554.366177685547,2754.273567626953,5,0.07890820500239681,0.07782979293338088,False
2008-12-01,2008-12-02,2008-12-08,2673.701772314453,2783.1648,5,0.041565379069687935,0.040524292654504857,False
2008-12-17,2008-12-18,2008-12-24,2956.236702685547,2915.9750426269534,5,-0.013027221387588717,-0.01401374030672431,False
2008-12-26,2008-12-29,2009-01-05,2858.007047314453,3120.5135161865237,5,0.09250478898965597,0.09141278658904306,False
2009-01-07,2009-01-09,2009-01-15,2920.8259361572264,2735.8789411865237,5,-0.06275792498650723,-0.06369473607071041,False
2009-01-15,2009-01-16,2009-01-22,2737.8211,2712.9859088134767,5,-0.008476416211865234,-0.009467483843488722,False
2009-02-02,2009-02-03,2009-02-09,2774.33205,2919.023932373047,5,0.05278525413511814,0.05173295300432956,False
2009-02-16,2009-02-17,2009-02-24,2854.7062526855466,2733.079732373047,5,-0.0420310076590954,-0.04298853612935194,False
2009-03-02,2009-03-03,2009-03-09,2672.951547314453,2572.377957373047,5,-0.03704881972121654,-0.038011328088351726,False
2009-03-30,2009-03-31,2009-04-08,2982.5944611572263,3341.9470661865234,5,0.12115571852158391,0.12003507836657024,False
2009-04-16,2009-04-17,2009-04-23,3370.5108499999997,3422.6728411865233,5,0.016085458130842945,0.015069839919655603,False
2009-04-28,2009-04-29,2009-05-07,3372.661397314453,3682.794732373047,5,0.09261044564055854,0.09151833763188022,False
2009-05-26,2009-05-27,2009-06-02,4118.534994628906,4523.892425,5,0.09908197475638114,0.0979833981945204,False
2009-06-08,2009-06-09,2009-06-15,4429.0783249999995,4482.6548,5,0.01270396928462536,0.011691731007306805,False
2009-06-15,2009-06-16,2009-06-22,4479.4435276855465,4233.979425,5,-0.05423060949069736,-0.05517594396910974,False
