variant,n_raw,n,mean_gross,mean_net,median_net,win_rate_net,base_mean,excess,p_greater
Primary specification,145,92,0.0006958846181880109,-0.00030411538181198994,-0.0006317422008961229,0.5,0.0013067183298931307,-0.0006108337117051198,0.5491985712524763
No de-clustering (overlapping events),145,145,0.0026745204178718817,0.0016745204178718808,0.0016677668790353603,0.5172413793103449,0.0013067183298931307,0.001367802087978751,0.3820477069665795
Entry at event-day CLOSE (optimistic),145,92,0.0010189438198980666,1.8943819898065634e-05,0.0006196395231110605,0.5,0.0021690875795718177,-0.0011501437596737512,0.5907432968599087
Vol-adjusted event (z <= z_threshold),76,61,0.007217568389883,0.006217568389882999,0.0036514792998515464,0.5245901639344263,0.0013067183298931307,0.0059108500599898695,0.1716851423016012
Percentile event (worst p% of past returns),11,9,-0.00895187264949456,-0.009951872649494561,-0.025480530648737454,0.3333333333333333,0.0013067183298931307,-0.01025859097938769,0.603687213174789
"Excluding crisis windows (GFC, COVID)",98,68,0.00046731329704806937,-0.0005326867029519315,0.0014952905593935703,0.5147058823529411,0.0013228893216653448,-0.0008555760246172755,0.5703665213937646
Round-trip cost = 0 bps,145,92,0.0006958846181880109,0.0006958846181880109,0.0003682577991038771,0.5,0.0013067183298931307,-0.0006108337117051198,0.5491985712524763
Round-trip cost = 20 bps,145,92,0.0006958846181880109,-0.0013041153818119909,-0.001631742200896123,0.5,0.0013067183298931307,-0.0006108337117051198,0.5491985712524763
Round-trip cost = 40 bps,145,92,0.0006958846181880109,-0.0033041153818119916,-0.003631742200896123,0.4673913043478261,0.0013067183298931307,-0.0006108337117051198,0.5491985712524763
