Date,n,mean_gross,mean_net,win_rate,base_mean,excess
2007,3,0.025232754011852654,0.024232754011852653,0.6666666666666666,0.021148766057088018,0.004083987954764636
2008,27,-0.01756864258769672,-0.01856864258769672,0.4074074074074074,-0.013432809162986465,-0.004135833424710255
2009,17,0.01556879439377145,0.014568794393771449,0.5882352941176471,0.012706554939889847,0.0028622394538816032
2010,6,-0.0053256756174229385,-0.006325675617422939,0.5,0.002405903032466809,-0.007731578649889747
2011,11,0.002647376788241734,0.0016473767882417328,0.45454545454545453,-0.005293414798678545,0.007940791586920279
2012,4,0.0051954705969126935,0.004195470596912693,0.25,0.004278769435277174,0.0009167011616355199
2013,9,0.016826871406590324,0.015826871406590323,0.6666666666666666,7.907390674349261e-05,0.016747797499846832
2014,2,-0.01789049597661646,-0.01889049597661646,0.0,0.005035043145948563,-0.022925539122565022
2015,8,0.005967763032126358,0.004967763032126357,0.625,-0.0023478610979140646,0.008315624130040424
2016,5,0.003331007938914543,0.002331007938914542,0.6,0.0004994144140635043,0.002831593524851039
