regime,n,mean_gross,base_mean,excess
low vol,6,7.991865813287517e-05,0.002869394640233445,-0.00278947598210057
mid vol,28,0.0010311745449974358,-0.0012705170722591141,0.00230169161725655
high vol,56,0.000173388697691312,0.0009054274659101666,-0.0007320387682188546
