threshold,h,n_raw,n,mean_gross,mean_net,median_net,win_rate_net,base_mean,excess,p_greater,p_holm,p_bh,reliable
-0.01,1,422,422,-0.0008127656400329542,-0.001812765640032955,-0.001752968289497058,0.43601895734597157,-0.00041186913434596397,-0.0004008965056869902,0.6704898213298274,1.0,0.7848865663167768,True
-0.01,2,422,340,7.351542852981373e-05,-0.0009264845714701871,-0.0005433162015143758,0.49117647058823527,3.777830360436794e-05,3.573712492544579e-05,0.4901017483814818,1.0,0.7848865663167768,True
-0.01,3,422,290,0.0012590123035405613,0.00025901230354056034,0.00265584843703759,0.5310344827586206,0.00046985671916247533,0.000789155584378086,0.34671180418249536,1.0,0.7848865663167768,True
-0.01,5,422,222,0.0014001623390100884,0.0004001623390100875,0.0025777415372192367,0.5225225225225225,0.0013067183298931307,9.344400911695766e-05,0.4839408626832951,1.0,0.7848865663167768,True
-0.01,10,422,148,0.0017413711545264394,0.0007413711545264386,0.003236543884727939,0.527027027027027,0.0032765111046408647,-0.0015351399501144253,0.6406861917769044,1.0,0.7848865663167768,True
-0.01,20,421,92,0.00826670172715784,0.0072667017271578396,0.01265727402500727,0.5869565217391305,0.007100803876838447,0.0011658978503193938,0.439049592381543,1.0,0.7848865663167768,True
-0.015,1,245,245,-0.0010548173382633884,-0.0020548173382633895,-0.0022294970428567975,0.42857142857142855,-0.00041186913434596397,-0.0006429482039174245,0.6777149419796842,1.0,0.7848865663167768,True
-0.015,2,245,206,-0.00017930379954853593,-0.0011793037995485368,-0.0020449328050864404,0.46601941747572817,3.777830360436794e-05,-0.00021708210315290387,0.5410016525377495,1.0,0.7848865663167768,True
-0.015,3,245,177,0.0011608750148502387,0.00016087501485023787,0.0029884264921721257,0.5254237288135594,0.00046985671916247533,0.0006910182956877634,0.39996005334622386,1.0,0.7848865663167768,True
-0.015,5,245,146,0.003254596779136037,0.0022545967791360363,0.005345018141518777,0.547945205479452,0.0013067183298931307,0.0019478784492429064,0.26974156580998665,1.0,0.7848865663167768,True
-0.015,10,245,103,0.0020181030894683965,0.0010181030894683954,0.0019340455886124328,0.5242718446601942,0.0032765111046408647,-0.0012584080151724682,0.5941099853982684,1.0,0.7848865663167768,True
-0.015,20,245,67,0.004073298430476899,0.0030732984304768984,0.0004478095221053255,0.5074626865671642,0.007100803876838447,-0.0030275054463615473,0.6206040349486214,1.0,0.7848865663167768,True
-0.02,1,145,145,-0.0017778739389399166,-0.0027778739389399173,-0.002914785875920755,0.4068965517241379,-0.00041186913434596397,-0.0013660048045939528,0.7412817570769559,1.0,0.7848865663167768,True
-0.02,2,145,126,-0.001766135405514772,-0.0027661354055147727,-0.0014580986127408204,0.47619047619047616,3.777830360436794e-05,-0.00180391370911914,0.7250555689294829,1.0,0.7848865663167768,True
-0.02,3,145,111,0.001917574468751035,0.0009175744687510341,0.003654141759180108,0.5495495495495496,0.00046985671916247533,0.0014477177495885597,0.3520522163956251,1.0,0.7848865663167768,True
-0.02,5,145,92,0.0006958846181880109,-0.00030411538181198994,-0.0006317422008961229,0.5,0.0013067183298931307,-0.0006108337117051198,0.5491985712524763,1.0,0.7848865663167768,True
-0.02,10,145,70,0.007091455938095501,0.0060914559380955005,0.012151080993210384,0.5285714285714286,0.0032765111046408647,0.0038149448334546367,0.3037073559236377,1.0,0.7848865663167768,True
-0.02,20,145,50,0.009156301343642575,0.008156301343642574,0.006945651430776746,0.6,0.007100803876838447,0.0020554974668041282,0.430781540854545,1.0,0.7848865663167768,True
-0.025,1,88,88,-0.0006987225725029492,-0.0016987225725029502,-0.0007788126570722467,0.45454545454545453,-0.00041186913434596397,-0.0002868534381569852,0.5356703395278251,1.0,0.7848865663167768,True
-0.025,2,88,78,-0.0009398856158113129,-0.0019398856158113138,0.0008233185268979879,0.5256410256410257,3.777830360436794e-05,-0.0009776639194156809,0.5859572319239359,1.0,0.7848865663167768,True
-0.025,3,88,67,0.0032088413290945516,0.0022088413290945507,0.004507955936352449,0.5970149253731343,0.00046985671916247533,0.002738984609932076,0.30880987022343664,1.0,0.7848865663167768,True
-0.025,5,88,57,0.0029832434655791013,0.0019832434655791004,0.006526763958143778,0.543859649122807,0.0013067183298931307,0.0016765251356859706,0.3988693556675434,1.0,0.7848865663167768,True
-0.025,10,88,44,0.015199105979489596,0.014199105979489595,0.02189367739376913,0.5909090909090909,0.0032765111046408647,0.011922594874848732,0.14628606613905154,1.0,0.7848865663167768,True
-0.025,20,88,31,0.025343347892573757,0.024343347892573756,0.030501275463311495,0.6129032258064516,0.007100803876838447,0.01824254401573531,0.1308151237314078,1.0,0.7848865663167768,True
-0.03,1,60,60,-0.0024540941121976097,-0.0034540941121976106,-0.0025464457077349336,0.4,-0.00041186913434596397,-0.0020422249778516456,0.6812729242915456,1.0,0.7848865663167768,True
-0.03,2,60,54,-0.0024058000800437607,-0.0034058000800437616,0.0012741869293867456,0.5370370370370371,3.777830360436794e-05,-0.0024435783836481285,0.6530831262497043,1.0,0.7848865663167768,True
-0.03,3,60,46,0.00019009122845877456,-0.0008099087715412263,0.004385446979088826,0.5652173913043478,0.00046985671916247533,-0.0002797654907037008,0.5155277229739196,1.0,0.7848865663167768,True
-0.03,5,60,41,0.0069389260048938126,0.005938926004893812,0.008613180241980989,0.5609756097560976,0.0013067183298931307,0.005632207675000682,0.2601637609015598,1.0,0.7848865663167768,True
-0.03,10,60,31,0.004550984092748932,0.003550984092748931,0.010632607684038287,0.5483870967741935,0.0032765111046408647,0.0012744729881080672,0.4645781779540671,1.0,0.7848865663167768,True
-0.03,20,60,22,0.022069624451402925,0.021069624451402924,0.02779468135001706,0.5454545454545454,0.007100803876838447,0.014968820574564478,0.24038044695247923,1.0,0.7848865663167768,False
-0.04,1,27,27,-0.0038288661185946144,-0.004828866118594615,-0.00710985398298336,0.3333333333333333,-0.00041186913434596397,-0.0034169969842486503,0.738564454048235,1.0,0.7848865663167768,False
-0.04,2,27,26,-0.01170942533089155,-0.01270942533089155,-0.008680397252143146,0.38461538461538464,3.777830360436794e-05,-0.011747203634495917,0.9014987180294173,1.0,0.9014987180294172,False
-0.04,3,27,23,-0.01103304662418662,-0.012033046624186621,-0.002921229830488369,0.4782608695652174,0.00046985671916247533,-0.011502903343349096,0.8327091776659472,1.0,0.8565008684564028,False
-0.04,5,27,20,0.003926409920477508,0.002926409920477507,-0.0048549500100028,0.45,0.0013067183298931307,0.0026196915905843774,0.4172685672792927,1.0,0.7848865663167768,False
-0.04,10,27,17,0.009460911340836042,0.008460911340836041,0.0019340455886124328,0.5294117647058824,0.0032765111046408647,0.006184400236195178,0.3591216609764089,1.0,0.7848865663167768,False
-0.04,20,27,13,0.027597992391802804,0.026597992391802803,0.026372940264229316,0.6153846153846154,0.007100803876838447,0.020497188514964355,0.23506156719974058,1.0,0.7848865663167768,False
