signal_date,entry_date,exit_date,entry_px,exit_px,bars_held,gross_ret,net_ret,truncated
2018-02-02,2018-02-05,2018-02-09,10607.481094628905,10451.813710253906,5,-0.014083872780452866,-0.01506933553409684,False
2018-10-04,2018-10-05,2018-10-11,10517.253839257812,10231.579995507813,5,-0.026578521141346845,-0.02755149499229448,False
2018-10-11,2018-10-12,2018-10-19,10334.649269628906,10300.458739746095,5,-0.002710145189185109,-0.0037069764402112293,False
2019-07-08,2019-07-09,2019-07-15,11535.059089257813,11584.873104492188,5,0.004921260009223882,0.003916800862301395,False
2019-09-03,2019-09-04,2019-09-11,10793.637510742186,11032.389485253907,5,0.02273315130183895,0.021710888454422816,False
2020-02-03,2020-02-04,2020-02-10,11789.785875,12027.89055,5,0.020808145084314278,0.01978780635790156,False
2020-02-24,2020-02-25,2020-03-02,11881.06325,11129.410175,5,-0.06270258892864655,-0.06363945532346127,False
2020-03-06,2020-03-09,2020-03-16,10745.272419628905,9194.641170507814,5,-0.14379466136793206,-0.14465047298050038,False
2020-03-16,2020-03-17,2020-03-23,9288.186010742187,7607.966925000001,5,-0.18040690978886753,-0.18122612598915921,False
2020-03-23,2020-03-24,2020-03-30,7850.654294628906,8278.615279492187,5,0.05514567682914007,0.05409101636109792,False
2020-03-30,2020-03-31,2020-04-08,8531.908414257812,8746.125375,5,0.02572299186609106,0.0246977405529889,False
2020-04-21,2020-04-22,2020-04-28,9029.458025,9378.086120507813,5,0.0392334329215942,0.03819467738021354,False
2020-05-04,2020-05-05,2020-05-11,9432.229210742187,9236.428435253907,5,-0.020170974551213527,-0.021150353002240663,False
2020-05-14,2020-05-15,2020-05-21,9185.155110742187,9103.518125,5,-0.00829308104477211,-0.009284331927256084,False
2020-06-11,2020-06-12,2020-06-18,9547.813680371093,10088.622895507813,5,0.05727638008849789,0.056219589897000155,False
2020-08-31,2020-09-01,2020-09-07,11467.739094628905,11351.643289746095,5,-0.009529583303057865,-0.010519598251889084,False
2020-09-21,2020-09-22,2020-09-28,11305.140524999999,11224.181539746094,5,-0.006565372204525799,-0.007558350001362735,False
2020-10-15,2020-10-16,2020-10-22,11730.918610742187,11892.881260253907,5,0.014414942703127931,0.013400994239182173,False
2020-12-21,2020-12-22,2020-12-29,13377.662485742187,13928.419829492188,5,0.041794813115634266,0.04075349737191036,False
2021-02-22,2021-02-23,2021-03-01,14786.684674999999,14757.121339746094,5,-0.001400341308833264,-0.0023984817614262077,False
2021-04-12,2021-04-13,2021-04-20,14369.209860742187,14292.111470507813,5,-0.004768567698854698,-0.005763341473936867,False
2021-11-26,2021-11-29,2021-12-03,17060.917521484374,17191.540208984377,5,0.00826102739514245,0.007253230016626366,False
2021-12-20,2021-12-21,2021-12-27,16778.182335742185,17081.124125000002,5,0.018666714486146985,0.017648516205595488,False
2022-01-24,2022-01-25,2022-02-01,17006.651246484373,17571.57655449219,5,0.033838020750404985,0.03280465814011513,False
2022-02-14,2022-02-15,2022-02-21,16938.329975,17201.488395507815,5,0.016145771817282606,0.015130093320144367,False
2022-02-24,2022-02-25,2022-03-04,16520.605085742187,16240.476004492188,5,-0.01636634191551034,-0.017349523249612808,False
2022-03-07,2022-03-08,2022-03-14,15752.474325,16866.239391015624,5,0.07134674993252998,0.07027589584144867,False
2022-05-04,2022-05-05,2022-05-11,16859.806425,16162.249479492188,5,-0.04079861111111116,-0.04175737141119806,False
2022-05-12,2022-05-13,2022-05-19,15981.793099999999,15804.657570507812,5,-0.010490055040057622,-0.011479109958824618,False
2022-05-19,2022-05-20,2022-05-26,16048.612944628905,16165.299345507812,5,0.007875352938559121,0.006867941057147053,False
2022-06-13,2022-06-14,2022-06-20,15678.952275,15345.545345507813,5,-0.020677200464137013,-0.021656072922039415,False
2024-01-17,2024-01-18,2024-01-25,21420.623478515623,21346.19382949219,5,-0.002876577767197741,-0.003873242662179921,False
2024-06-04,2024-06-05,2024-06-11,22134.988114257812,23257.87015449219,5,0.051359456085170674,0.050308580096778854,False
2024-08-05,2024-08-06,2024-08-12,24197.10656425781,24339.695900000002,5,0.0064965426888845546,0.00549050898367609,False
2024-10-03,2024-10-04,2024-10-10,25189.454960742187,24990.949683984374,5,-0.007285040804279275,-0.008277299263456439,False
2025-04-07,2025-04-08,2025-04-16,22453.484024999998,23430.168058984375,5,0.0441243930078965,0.04308074875553758,False
2026-03-13,2026-03-16,2026-03-20,23123.03443925781,23107.56565,5,-6.919893070334027e-05,-0.0010686699135487032,False
2026-03-23,2026-03-24,2026-04-01,22885.312753515624,22672.596570507812,5,-0.00870027623908487,-0.009691120113623386,False
2026-07-08,2026-07-09,2026-07-15,23936.127903515626,24071.27645,5,0.0062497847223821346,0.005243997661668498,False
